Term;Abbreviation
Acrylonitrile/butadiene plastics;AB
Acrylonitrile-butadiene-acrylate plastics;ABA
Acrylonitrile-butadiene-styrene plastics;ABS
Acrylonitrile-chlorinated polyethylene-styrene plastics;ACPES
Acrylonitrile-ethylene-styrene plastics;AES
Acrylonitrile-methyl acrylate-acrylonitrile-butadiene rubber;AMAB
Acrylonitrile-methyl methacrylate plastics;AMMA
Acrylonitrile-styrene-acrylate plastics;ASA
Acrylonitrile/ethylene-propylene-diene/styrene;AEPDMS
Aromatic polyester;ARP
Carboxymethyl cellulose;CMC
Casein;CS
Caseine-formaldehyde resin;CSF
Cellulose acetate;CA
Cellulose acetate-butyrate;CAB
Cellulose acetate propionate;CAP
Cellulose formaldehyde;CEF
Cellulose nitrate;CN
Cellulose plastics;CE
Cellulose propionate;CP
Cellulose triacetate;CTA
Chlorinated poly(vinyl chloride);CPVC
Chlorinated polyethylene;CPE
Cresol-formaldehyde resin;CF
Epoxy;EP
Ethyl cellulose;EC
Ethylene acrylate;EA
Ethylene-chlorotrifluoroethylene copolymer;E-CTFE
Ethylene-ethyl acrylate plastics;EEA
Ethylene-methacrylic acid plastics;EMA
Ethylene-propylene polymer;EPM
Ethylene-propylene-diene plastics;EPD
Ethylene-tetrafluoroethylene copolymer;ETFE
Ethylene-vinyl acetate plastics;EVA
Ethylene-vinyl alcohol copolymer;EVOH
Fluorocarbon perfluoromethoxy;MPA
Furan formaldehyde resin;FF
General purpose polystyrene;GPPS
High density polyethylene plastics;HDPE
High impact-resistant polystyrene;HIPS
Impact resistant polystyrene;IPS
Linear low density polyethylene plastics;LLDPE
Linear medium density polyethylene plastics;LMDPE
Liquid crystal polymer;LCP
Low density polyethylene plastics;LDPE
Medium density polyethylene plastics;MDPE
Melamine-formaldehyde resin;MF
Melamine/phenol-formaldehyde resin;MPF
Methacrylate-butadiene-styrene plastics;MBS
Methyl cellulose;MC
Methyl methacrylate-acrylonitrile-butadiene-styrene resin;MMABS
Nylon;PA
Perfluoro(alkoxy alkane);PFA
Perfluoro(ethylene-propylene) copolymer;FEP
Perfluoromethoxy resin;MFA
Phenol-formaldehyde resin;PF
Phenol-furfural resin;PFF
Poly(acrylic acid);PAA
Poly(allyl diglycol carbonate);PADC
Poly(aryl ether ketone);PAEK
Poly(butyl acrylate);PBA
Poly(butylene adipate-co-succinate);PBAS
Poly(butylene adipate-co-terephthalate);PBAT
Poly(butylene succinate);PBS
Poly(butylene terephthalate);PBT
Poly(cyclohexylenedimethylene cyclohexandicarboxylate);PCCE
Poly(cyclohexylenedimethylene terephthalate);PCT
Poly(cyclohexylenedimethylene terephthalate);PCTA
Poly(cyclohexylenedimethylene terephthalate);PCTG
glycol;PCTG
Poly(diallyl phthalate);PDAP
Poly(ester urethane);PAUR
Poly(ether block amide);PEBA
Poly(ether sulfone);PES
Poly(ether urethane);PEUR
Poly(ethylene furanoate);PEF
Poly(ethylene oxide);PEOX
Poly(ethylene terephthalate);PET6
Poly(ethylene terephthalate) acid comonomer;PETA
Poly(ethylene terephthalate) glycol comonomer;PETG
Poly(lactic acid);PLA
Polylactic acid;PLA
Poly(methyl methacrylate);PMMA
Poly(methyl methacrylimide);PMMI
Poly(methyl-Î±-chloroacrylate);PMCA
Poly(phenyl sulfone);PPSU
Poly(phenylene ether);PPE
Poly(phenylene oxide);PPE
Poly(phenylene sulfide);PPS
Poly(phenylene sulfone);PPSU
Poly(propylene oxide);PPOX
Poly(vinyl acetate);PVAC
Poly(vinyl alcohol);PVOH
Poly(vinyl butyral);PVB
Poly(vinyl carbazole);PVK
Poly(vinyl chloride);PVC
Poly(vinyl chloride-acetate);PVCA
Poly(vinyl fluoride);PVF
Poly(vinyl formal);PVFM
Poly(vinyl pyrrolidone);PVP
Polyvinylpyrrolidone/1-triacontene;PVP/TA
Poly(vinylidene chloride);PVDC
Poly(vinylidene fluoride);PVDF
Poly(Îµ-caprolactone);PCL
Poly-4-methylpentene-1;PMP
Poly-Î±-methylstyrene;PMS
Poly-p-oxybenzoate;POB
Polyacrylonitrile;PAN
Polyamide;PA
Polyamide 10;PA10
Polyamide 1010;PA1010
Polyamide 11;PA11
Polyamide 12;PA12
Polyamide 1212;PA1212
