Column1,word,count,pertinence,materials
0,fiber,708,0,
1,spin,520,0,
2,centrifug,402,0,
3,nanofib,289,1,
4,solut,197,1,
5,polym,185,0,
6,high,184,0,
7,method,182,0,
8,diamet,181,1,
9,result,173,0,
10,process,169,0,
11,jet,153,1,
12,scaffold,149,0,
13,produc,148,0,
14,product,144,0,
15,show,141,0,
16,prepar,139,0,
17,fabric,135,0,
18,studi,133,0,
19,fibr,132,0,
20,composit,131,1,
21,materi,131,0,
22,structur,127,1,
23,speed,124,0,
24,morpholog,121,1,
25,properti,119,0,
26,cell,116,0,
27,applic,114,0,
28,effect,113,0,
29,electrospin,112,1,
30,concentr,107,1,
31,carbon,104,0,
32,obtain,104,0,
33,rotat,101,0,
34,perform,95,0,
35,techniqu,94,0,
36,increas,93,0,
37,tissu,93,0,
38,compar,89,0,
39,surfac,87,0,
40,spun,84,0,
41,thermal,82,1,
42,fibrou,80,0,
43,develop,79,0,
44,degre,77,0,
45,pan,77,0,1
46,paramet,76,0,
47,forc,75,0,
48,mechan,74,0,
49,model,73,1,
50,electron,72,0,
51,scan,71,0,
52,base,69,0,
53,rate,69,0,
54,engin,69,0,
55,rotari,66,0,
56,investig,66,0,
57,nozzl,65,1,
58,format,65,0,
59,demonstr,64,0,
60,phase,64,0,
61,temperatur,63,1,
62,microscopi,61,0,
63,system,60,0,
64,analysi,59,0,
65,work,59,0,
66,tio,59,0,
67,membran,58,1,
68,solvent,58,1,
69,poli,57,0,
70,air,57,0,
71,present,55,0,
72,higher,55,0,
73,addit,55,0,
74,potenti,54,0,
75,microfib,54,1,
76,improv,53,0,
77,capac,53,0,
78,form,53,0,
79,pcl,52,0,1
80,low,51,0,
81,drug,51,0,
82,stabil,51,0,
83,character,51,0,
84,control,50,0,
85,decreas,50,0,
86,effici,50,0,
87,precursor,49,1,
88,larg,49,0,
89,found,48,0,
90,technolog,48,0,
91,mat,48,1,
92,align,48,0,
93,viscos,48,1,
94,promis,47,0,
95,elsevi,47,0,
96,heat,46,1,
97,melt,45,1,
98,enhanc,44,0,
99,treatment,44,0,
100,pvp,44,0,1
101,pla,44,0,1
102,test,43,0,
103,area,43,0,
104,activ,43,0,
105,nanofibr,43,1,
106,condit,43,0,
107,water,43,1,
108,cycl,43,0,
109,nm,43,0,
110,approach,43,0,
111,nano,43,0,
112,rj,42,0,
113,combin,42,0,
114,evalu,41,0,
115,ray,41,1,
116,rang,41,0,
117,chang,40,0,
118,optim,40,0,
119,anod,40,0,
120,wt,40,0,
121,batteri,39,0,
122,right,39,0,
123,reserv,39,0,
124,micro,39,0,
125,spinneret,39,0,
126,crystallin,39,1,
127,averag,38,0,
128,ratio,37,0,
129,highli,37,0,
130,mu,37,0,
131,field,36,0,
132,ion,36,0,
133,sampl,36,0,
134,success,36,0,
135,coat,36,1,
136,observ,36,0,
137,porou,35,0,
138,size,35,0,
139,exhibit,35,0,
140,includ,35,0,
141,polymer,35,0,
142,cost,35,0,
143,sem,35,0,
144,simpl,35,0,
145,influenc,34,0,
146,limit,34,0,
147,voltag,34,0,
148,chemic,34,0,
149,reduc,34,0,
150,good,34,0,
151,scale,34,1,
152,initi,34,0,
153,measur,34,0,
154,transform,33,0,
155,acid,33,0,
156,affect,32,0,
157,oxid,32,0,
158,orient,32,0,
159,chitosan,32,0,1
160,distribut,31,0,
161,separ,31,0,
162,provid,31,0,
163,report,31,0,
164,blend,31,1,
165,appli,31,0,
166,function,31,0,
167,spectroscopi,31,0,
168,thin,31,0,
169,specif,31,0,
170,releas,31,0,
171,gener,31,0,
172,sol,31,0,
173,recent,30,0,
174,paper,30,0,
175,load,30,0,
176,diffract,30,0,
177,design,29,0,
178,manufactur,29,0,
179,analyz,29,0,
180,determin,29,0,
181,prolifer,29,0,
182,wound,29,0,
183,peg,29,0,
184,free,29,0,
185,sio,29,0,1
186,veloc,28,0,
187,flexibl,28,0,
188,conduct,28,0,
189,gelatin,28,0,1
190,degrad,28,0,
191,strength,28,1,
192,differenti,27,0,
193,rpm,27,0,
194,achiev,27,0,
195,flow,26,0,
196,yield,26,0,
197,current,26,0,
198,requir,26,0,
199,content,26,0,
200,biomed,26,0,
