;name
0;ANDORRA LA VELLA
1;UMM AL QUWAIN CITY
2;RAS AL KHAIMAH CITY
3;ZAYED CITY
4;KHAWR FAKKAN
5;DUBAI
6;DIBBA AL FUJAIRAH
7;DIBBA AL HISN
8;SHARJAH
9;AR RUWAYS
10;AL FUJAIRAH CITY
11;AL AIN CITY
12;AJMAN CITY
13;ADH DHAYD
14;ABU DHABI
15;KHALIFAH A CITY
16;BANI YAS CITY
17;MUSAFFAH
18;AL SHAMKHAH CITY
19;REEF AL FUJAIRAH CITY
20;ZARANJ
21;BAZAR E YAKAWLANG
22;TALOQAN
23;SHINDAND
24;SHIBIRGHAN
25;SHAHRAK
26;SAR E PUL
27;SANG E CHARAK
28;AIBAK
29;RUSTAQ
30;QARQIN
31;QARAWUL
32;PUL E KHUMRI
33;PAGHMAN
34;NAHRIN
35;MAYMANA
36;MEHTAR LAM
37;MAZAR E SHARIF
38;LASHKAR GAH
39;KUSHK
40;KUNDUZ
41;KHOST
42;KHULM
43;KHASH
44;KHANABAD
45;KARUKH
46;KANDAHAR
47;KABUL
48;JALALABAD
49;JABAL OS SARAJ
50;HERAT
51;GHORMACH
52;GHAZNI
53;GERESHK
54;GARDEZ
55;FAYZABAD
56;FARAH
57;KAFIR QALA
58;CHARIKAR
59;BARAKI BARAK
60;BAMYAN
61;BALKH
62;BAGHLAN
63;ART KHWAJAH
64;ASMAR
65;ASADABAD
66;ANDKHOY
67;BAZARAK
68;MARKAZ E WOLUSWALI YE ACHIN
69;SAINT JOHN S
70;THE VALLEY
71;SARANDE
72;POGRADEC
73;KUKES
74;KORCE
75;GJIROKASTER
76;ELBASAN
77;BURREL
78;VLORE
79;TIRANA
80;SHKODER
81;PATOS FSHAT
82;PATOS
83;LUSHNJE
84;LEZHE
85;LAC
86;KUCOVE
87;KRUJE
88;KAVAJE
89;FIER CIFCI
90;FIER
91;DURRES
92;BERAT
93;KAPAN
94;GORIS
95;HATS AVAN
96;ARTASHAT
97;ARARAT
98;YEREVAN
99;VAGHARSHAPAT
100;STEP ANAVAN
101;SPITAK
102;SEVAN
103;MASIS
104;VANADZOR
105;GAVARR
106;HRAZDAN
107;ARMAVIR
108;GYUMRI
109;ASHTARAK
110;ABOVYAN
111;SAURIMO
112;LUCAPA
113;LUAU
114;UIGE
115;SOIO
116;N ZETO
117;N DALATANDO
118;MBANZA KONGO
119;MALANJE
120;LUANDA
121;CAXITO
122;CABINDA
123;SUMBE
124;NAMIBE
125;MENONGUE
126;LUENA
127;LUBANGO
128;LONGONJO
129;LOBITO
130;CUITO
131;HUAMBO
132;CATUMBELA
133;CATABOLA
134;CAMACUPA
135;CAALA
136;BENGUELA
137;ZARATE
138;WANDA
139;VILLA ORTUZAR
140;VILLA OCAMPO
141;VILLA LUGANO
142;VILLAGUAY
143;VILLA GESELL
144;VILLA DE MAYO
145;TORTUGUITAS
146;TIGRE
147;TANDIL
148;SAN VICENTE
149;SANTO TOME
150;SANTA ELENA
151;SAN PEDRO
152;SAN PEDRO
153;SAN LUIS DEL PALMAR
154;SAN LORENZO
155;SAN JAVIER
156;SAN ISIDRO
157;SALADAS
158;RETIRO
159;RESISTENCIA
160;RECONQUISTA
161;QUILMES
162;PUERTO RICO
163;PUERTO IGUAZU
164;PUERTO ESPERANZA
165;PUERTO ELDORADO
166;POSADAS
167;PONTEVEDRA
168;PIRANE
169;PILAR
170;PASO DE LOS LIBRES
171;OBERA
172;NECOCHEA
173;MUNIZ
174;MORON
175;MONTE CASEROS
176;MONTECARLO
177;MERLO
178;MERCEDES
179;MERCEDES
180;MAR DEL PLATA
181;LUJAN
182;LOS POLVORINES
183;LA PLATA
184;LA PAZ
185;JARDIN AMERICA
186;HURLINGHAM
187;GUALEGUAYCHU
188;GUALEGUAY
189;GOYA
190;GOBERNADOR VIRASORA
191;GENERAL PACHECO
192;GENERAL JOSE DE SAN MARTIN
193;GARUPA
194;FORMOSA
195;FONTANA
196;FEDERAL
197;ESQUINA
198;EL SOBERBIO
199;DON TORCUATO
200;DOLORES
201;CURUZU CUATIA
202;CORRIENTES
203;CONCORDIA
204;CONCEPCION DEL URUGUAY
205;COLEGIALES
206;CHAJARI
207;CAMPANA
208;BUENOS AIRES
209;BOEDO
210;BERAZATEGUI
211;BELGRANO
212;BARRANQUERAS
213;BARRACAS
214;BALCARCE
215;AZUL
216;AVELLANEDA
217;ARISTOBULO DEL VALLE
218;ZAPALA
219;YERBA BUENA
220;VILLA REGINA
221;VILLA PAULA DE SARMIENTO
222;VILLA NUEVA
223;VILLA MARIA
224;VILLA DOLORES
225;VILLA CONSTITUCION
226;VILLA CARLOS PAZ
227;VILLA ANGELA
228;VILLA ALLENDE
229;VIEDMA
230;VICTORIA
231;VERA
232;VENADO TUERTO
233;VEINTICINCO DE MAYO
234;USHUAIA
235;UNQUILLO
236;TRES ISLETAS
237;TRES ARROYOS
238;TRELEW
239;TERMAS DE RIO HONDO
240;TARTAGAL
241;TAFI VIEJO
242;SUNCHALES
243;SANTO TOME
244;SANTIAGO DEL ESTERO
245;SANTA ROSA
246;SANTA LUCIA
247;SANTA FE
248;SAN SALVADOR DE JUJUY
249;SAN RAMON DE LA NUEVA ORAN
250;SAN RAFAEL
251;SAN PEDRO DE JUJUY
252;SAN NICOLAS DE LOS ARROYOS
253;SAN MIGUEL DE TUCUMAN
254;SAN MARTIN DE LOS ANDES
255;SAN MARTIN
256;SAN LUIS
257;SAN JUSTO
258;SAN JUAN
259;SAN JOSE DE JACHAL
260;SAN JORGE
261;SAN FRANCISCO
262;SAN FERNANDO DEL VALLE DE CATAMARCA
263;SAN ANTONIO OESTE
264;SALTA
265;RUFINO
266;ROSARIO
267;RIO TERCERO
268;RIO SEGUNDO
269;RIO GRANDE
270;RIO GALLEGOS
271;RIO CUARTO
272;RIO CEBALLOS
273;RAWSON
274;RAFAELA
275;QUITILIPI
276;PUNTA ALTA
277;PUERTO MADRYN
278;PRESIDENCIA ROQUE SAENZ PENA
279;POCITO
280;PLOTTIER
281;PERGAMINO
282;PEREZ
283;PARANA
284;PALPALA
285;OLAVARRIA
286;NUEVE DE JULIO
287;NEUQUEN
288;MORTEROS
289;MONTEROS
290;MENDOZA
291;MARCOS JUAREZ
292;MACHAGAI
293;LINCOLN
294;LIBERTADOR GENERAL SAN MARTIN
295;LAS BRENAS
296;LA RIOJA
297;LA FALDA
298;LA CALERA
299;LABOULAYE
300;JUNIN
301;JOAQUIN V GONZALEZ
302;JESUS MARIA
303;GRANADERO BAIGORRIA
304;GOBERNADOR GALVEZ
305;GENERAL VILLEGAS
306;GENERAL ROCA
307;GENERAL PINEDO
308;GENERAL PICO
309;GENERAL MOSCONI
310;GALVEZ
311;FIRMAT
312;FAMAILLA
313;ESQUEL
314;ESPERANZA
315;EMBARCACION
316;EMBALSE
317;EL BOLSON
318;DIAMANTE
319;DEAN FUNES
320;CUTRAL CO
321;CRUZ DEL EJE
322;CRESPO
323;COSQUIN
324;CORONEL SUAREZ
325;CORONDA
326;CORDOBA
327;COMODORO RIVADAVIA
328;CIPOLLETTI
329;CINCO SALTOS
330;CHIVILCOY
331;CHIMBAS
332;CHILECITO
333;CHARATA
334;CHACABUCO
335;CENTENARIO
336;CAUCETE
337;CATRIEL
338;CASTELLI
339;CASILDA
340;CARCARANA
341;CAPITAN BERMUDEZ
342;CANADA DE GOMEZ
343;CALETA OLIVIA
344;BELL VILLE
345;BELLA VISTA
346;BAHIA BLANCA
347;ARROYO SECO
348;ARROYITO
349;ANATUYA
350;ALTA GRACIA
351;ALLEN
352;ALDERETES
353;ALBARDON
354;AGUILARES
355;BALVANERA
356;VILLA SANTA RITA
357;VILLA MERCEDES
358;SAN MIGUEL
359;SAN CARLOS DE BARILOCHE
360;ADROGUE
