;Word;Count
0;fiber;708
1;spin;520
2;centrifug;402
3;nanofib;289
4;solut;197
5;polym;185
6;high;184
7;method;182
8;diamet;181
9;result;173
10;process;169
11;jet;153
12;scaffold;149
13;produc;148
14;product;144
15;show;141
16;prepar;139
17;fabric;135
18;studi;133
19;fibr;132
20;composit;131
21;materi;131
22;structur;127
23;speed;124
24;morpholog;121
25;properti;119
26;cell;116
27;applic;114
28;effect;113
29;electrospin;112
30;concentr;107
31;carbon;104
32;obtain;104
33;rotat;101
34;perform;95
35;techniqu;94
36;increas;93
37;tissu;93
38;compar;89
39;surfac;87
40;spun;84
41;thermal;82
42;fibrou;80
43;develop;79
44;degre;77
45;pan;77
46;paramet;76
47;forc;75
48;mechan;74
49;model;73
50;electron;72
51;scan;71
52;base;69
53;rate;69
54;engin;69
55;rotari;66
56;investig;66
57;nozzl;65
58;format;65
59;demonstr;64
60;phase;64
61;temperatur;63
62;microscopi;61
63;system;60
64;analysi;59
65;work;59
66;tio;59
67;membran;58
68;solvent;58
69;poli;57
70;air;57
71;present;55
72;higher;55
73;addit;55
74;potenti;54
75;microfib;54
76;improv;53
77;capac;53
78;form;53
79;pcl;52
80;low;51
81;drug;51
82;stabil;51
83;character;51
84;control;50
85;decreas;50
86;effici;50
87;precursor;49
88;larg;49
89;found;48
90;technolog;48
91;mat;48
92;align;48
93;viscos;48
94;promis;47
95;elsevi;47
96;heat;46
97;melt;45
98;enhanc;44
99;treatment;44
100;pvp;44
101;pla;44
102;test;43
103;area;43
104;activ;43
105;nanofibr;43
106;condit;43
107;water;43
108;cycl;43
109;nm;43
110;approach;43
111;nano;43
112;rj;42
113;combin;42
114;evalu;41
115;ray;41
116;rang;41
117;chang;40
118;optim;40
119;anod;40
120;wt;40
121;batteri;39
122;right;39
123;reserv;39
124;micro;39
125;spinneret;39
126;crystallin;39
127;averag;38
128;ratio;37
129;highli;37
130;mu;37
131;field;36
132;ion;36
133;sampl;36
134;success;36
135;coat;36
136;observ;36
137;porou;35
138;size;35
139;exhibit;35
140;includ;35
141;polymer;35
142;cost;35
143;sem;35
144;simpl;35
145;influenc;34
146;limit;34
147;voltag;34
148;chemic;34
149;reduc;34
150;good;34
151;scale;34
152;initi;34
153;measur;34
154;transform;33
155;acid;33
156;affect;32
157;oxid;32
158;orient;32
159;chitosan;32
160;distribut;31
161;separ;31
162;provid;31
163;report;31
164;blend;31
165;appli;31
166;function;31
167;spectroscopi;31
168;thin;31
169;specif;31
170;releas;31
171;gener;31
172;sol;31
173;recent;30
174;paper;30
175;load;30
176;diffract;30
177;design;29
178;manufactur;29
179;analyz;29
180;determin;29
181;prolifer;29
182;wound;29
183;peg;29
184;free;29
185;sio;29
186;veloc;28
187;flexibl;28
188;conduct;28
189;gelatin;28
190;degrad;28
191;strength;28
192;differenti;27
193;rpm;27
194;achiev;27
195;flow;26
196;yield;26
197;current;26
198;requir;26
199;content;26
200;biomed;26
201;adsorpt;26
202;mass;26
203;bead;26
204;powder;26
205;small;25
206;collector;25
207;distanc;25
208;fine;25
209;layer;25
210;biocompat;25
211;xrd;25
212;wide;24
213;electrochem;24
214;filtrat;24
215;number;24
216;min;24
217;factor;24
218;gel;24
219;continu;24
220;viscoelast;24
221;algin;24
222;poros;23
223;bone;23
224;aqueou;23
225;promot;23
226;time;23
227;confirm;23
228;infrar;23
229;deposit;23
230;fluid;23
231;pressur;23
232;length;22
233;radiu;22
234;experi;22
235;volum;22
236;nanoparticl;22
237;dope;22
238;characterist;22
239;vitro;22
240;fourier;22
241;mix;22
242;reveal;22
243;util;22
244;sodium;21
245;subsequ;21
246;type;21
247;research;21
248;experiment;21
249;collect;21
250;find;21
251;li;21
252;import;21
253;suitabl;21
254;similar;21
255;fe;21
256;simul;20
257;lithium;20
258;commerci;20
259;particl;20
260;introduc;20
261;collagen;20
262;pore;20
263;polyethylen;20
264;natur;20
265;evapor;20
266;highest;20
267;growth;20
268;nhap;20
269;ps;20
270;ceram;20
271;uniform;19
272;matrix;19
273;significantli;19
274;microstructur;19
275;dress;19
276;polyacrylonitril;19
277;excel;19
278;stabl;19
279;lower;19
280;protein;19
281;platelet;19
282;molecul;19
283;light;19
284;photocatalyt;19
285;trajectori;19
286;ecm;19
287;hollow;19
288;electrod;18
289;snsb;18
290;energi;18
291;group;18
292;depend;18
293;order;18
294;vari;18
295;nonwoven;18
296;incorpor;18
297;made;18
298;heal;18
299;calcin;18
300;behavior;18
301;si;18
302;sno;18
303;propos;17
304;physic;17
305;differ;17
306;suggest;17
307;altern;17
308;cultur;17
309;blow;17
310;select;17
311;synthes;17
312;amount;17
313;peo;17
314;homogen;17
315;starch;17
316;molecular;17
317;bioactiv;17
318;silica;17
319;amorph;17
320;electr;17
321;liquid;17
322;deliveri;16
323;day;16
324;antibacteri;16
325;dispers;16
326;charg;16
327;weight;16
328;extract;16
329;spinnabl;16
330;rapid;16
331;pure;16
332;support;16
333;attract;16
334;draw;16
335;web;16
336;mm;15
337;great;15
338;beta;15
339;regener;15
340;inhibit;15
341;hybrid;15
342;graphen;15
343;ad;15
344;advantag;15
345;dimension;15
346;attent;15
347;modifi;15
348;candid;15
349;al;15
350;mah;15
351;publish;15
352;tradit;15
353;shown;15
354;comparison;15
355;case;15
356;numer;15
357;oil;15
358;newtonian;15
359;qualiti;14
360;metal;14
361;discuss;14
362;lead;14
363;analys;14
364;period;14
365;shape;14
366;smooth;14
367;varieti;14
368;dsc;14
369;deliv;14
370;electrostat;14
371;viabil;14
372;employ;14
373;interact;14
374;contact;14
375;ultrafin;14
376;featur;14
377;biolog;14
378;long;14
379;uniqu;14
380;phb;14
381;devic;14
382;establish;14
383;alpha;14
384;remov;14
385;synthesi;14
386;capabl;14
387;pmma;14
388;explor;13
389;transit;13
390;angl;13
391;prove;13
392;review;13
393;vivo;13
394;critic;13
395;interest;13
396;respons;13
397;strong;13
398;superior;13
399;optimum;13
400;signific;13
401;densiti;13
402;ti;13
403;mixtur;13
404;ma;13
405;chain;13
406;tension;13
407;larger;13
408;filter;13
409;cm;13
410;fs;13
411;resist;13
412;optic;13
413;enabl;13
414;isol;13
415;examin;13
416;viscou;13
417;pp;13
418;equat;13
419;nylon;13
420;fb;13
421;curv;12
422;cf;12
423;mesopor;12
424;storag;12
425;repair;12
426;polycaprolacton;12
427;remain;12
428;presenc;12
429;thermogravimetr;12
430;agent;12
431;bacteri;12
432;subject;12
433;reaction;12
434;glycol;12
435;insul;12
436;compos;12
437;consist;12
438;integr;12
439;tensil;12
440;mpa;12
441;ultra;12
442;synthet;12
443;instabl;12
444;caprolacton;12
445;emerg;12
446;practic;12
447;forcespin;12
448;organ;12
449;uv;12
450;ga;12
451;sci;12
452;pcm;12
453;tin;12
454;adhes;12
455;acceler;11
456;challeng;11
457;defect;11
458;pva;11
459;bacteria;11
460;state;11
461;tga;11
462;possess;11
463;main;11
464;greater;11
465;polyurethan;11
466;biodegrad;11
467;ethanol;11
468;rapidli;11
469;owe;11
470;articl;11
471;amylopectin;11
472;facil;11
473;pdlla;11
474;favor;11
475;construct;11
476;regen;11
477;electrospun;11
478;equip;11
479;constant;11
480;substrat;11
481;zno;11
482;visibl;11
483;cytotox;11
484;like;11
485;wiley;11
486;treat;11
487;cmf;11
488;alumina;11
489;cl;11
490;overcom;10
491;creat;10
492;diffus;10
493;direct;10
494;advanc;10
495;complex;10
496;industri;10
497;polyvinyl;10
498;alcohol;10
499;reach;10
500;dri;10
501;wet;10
502;extrud;10
503;faster;10
504;oper;10
505;smart;10
506;strategi;10
507;verifi;10
508;lactic;10
509;carri;10
510;maintain;10
511;estrogen;10
512;skin;10
513;vinyl;10
514;thick;10
515;posit;10
516;ftir;10
517;profil;10
518;convent;10
519;assembl;10
520;induc;10
521;procedur;10
522;make;10
523;respect;10
524;ft;10
525;percent;10
526;ec;10
527;cocam;10
528;dissolut;10
529;grain;10
530;aim;9
531;phosphat;9
532;silver;9
533;humid;9
534;extens;9
535;polyvinylpyrrolidon;9
536;microscop;9
537;adsorb;9
538;mg;9
539;discharg;9
540;revers;9
541;fibroblast;9
542;key;9
543;safe;9
544;cmc;9
545;binder;9
546;crystal;9
547;sustain;9
548;cotton;9
549;indic;9
550;hydrophob;9
551;orific;9
552;ha;9
553;pa;9
554;regim;9
555;angular;9
556;final;9
557;microfibr;9
558;soy;9
559;term;9
560;imag;9
561;media;9
562;titanium;9
563;xp;9
564;vi;9
565;nitrid;9
566;polystyren;9
567;agnp;9
568;appl;9
569;solv;9
570;bulk;9
571;ir;9
572;bc;9
573;sn;9
574;droplet;9
575;muscl;9
576;hot;9
577;versatil;8
578;safeti;8
579;futur;8
580;infiltr;8
581;metabol;8
582;mean;8
583;rheolog;8
584;ethylen;8
585;core;8
586;focu;8
587;rel;8
588;zone;8
589;abil;8
590;nacl;8
591;calorimetri;8
592;dimethylformamid;8
593;dmf;8
594;es;8
595;needl;8
596;cross;8
597;link;8
598;point;8
599;aureu;8
600;data;8
601;loss;8
602;feasibl;8
603;sucros;8
604;pyrrolidon;8
605;human;8
606;dichloromethan;8
607;rough;8
608;osteogen;8
609;rich;8
610;linear;8
611;hap;8
612;throughput;8
613;environ;8
614;epsilon;8
615;extracellular;8
616;compon;8
617;detail;8
618;axi;8
619;singl;8
620;offer;8
621;smaller;8
622;ph;8
623;matric;8
624;atom;8
625;irradi;8
626;predict;8
627;candi;8
628;scalabl;8
629;seri;8
630;simultan;8
631;impact;8
632;setup;8
633;delta;8
634;manipul;8
635;inorgan;8
636;steam;8
637;solubl;8
638;atmospher;8
639;anisotropi;8
640;mgo;8
641;heart;8
642;valv;8
