Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;Book DOI;Early Access Date;Number of Pages;WoS Categories;Research Areas;IDS Number;UT (Unique WOS ID);Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;
J;Lai, ZL- Wang, JW- Liu, K- Li, WH- Zhang, ZM- Chen, BY;;;;Lai, Zilong- Wang, Jiawei- Liu, Kang- Li, Wenhui- Zhang, Zhiming- Chen, Boya;;;Research on rotary nozzle structure and flow field of the spinneret for centrifugal spinning;JOURNAL OF APPLIED POLYMER SCIENCE;;;;;;;;;;;;High-speed centrifugal spinning is a novel method of fabricating nanofibers by use of centrifugal force field. The neoteric designs and proper structural parameters of spinning nozzle will change the outlet velocity and velocity distribution uniformity of spinning solution, which could affect the quality of nanofibers. Four different spinning nozzles that can be used for high-speed centrifugal spinning are proposed. The flow of spinning solution in the different rotary nozzles is simulated based on the theoretical analysis. It can be found that the curved-tube nozzle is better for high-speed centrifugal spinning comparing with the velocity distribution of spinning solution in the four different spinning nozzles. The influence degree of the structure parameters of the curved-tube nozzle on the solution outlet-velocity is explored by orthogonal test method. The result shows that the curved-tube nozzle with an inlet diameter of 10 mm, conical transition pipe length of 3 mm, nozzle outlet diameter of 0.8 mm, curvature radius of 4 mm, and central angle of curved tube of 30 degrees, can effectively enhance the outlet velocity of spinning solution. Finally, it is proved by centrifugal spinning experiment that the curved-tube nozzle after optimization can improve the morphology and quality of nanofibers.;;;;;;;;;;;;;;;;;0021-8995;1097-4628;;;;;;;;;;;;;;e50832;10.1002/app.50832;;APR 2021;;;;;WOS:000637895800001;;;;;;
J;Chavez, RO- Lodge, TP- Alcoutlabi, M;;;;Chavez, Roberto Orrostieta- Lodge, Timothy P.- Alcoutlabi, Mataz;;;Recent developments in centrifugally spun composite fibers and their performance as anode materials for lithium-ion and sodium-ion batteries;MATERIALS SCIENCE AND ENGINEERING B-ADVANCED FUNCTIONAL SOLID-STATE MATERIALS;;;;;;;;;;;;Nanofibers (NFs) and composite NFs have been widely used as electrode and separator materials in lithium-ion batteries (LIBs) and sodium-ion batteries (SIBs) due to their high surface-area-to-volume ratio and versatility of their morphologies. The majority of carbon-fibers (CFs) anodes have been prepared by electrospinning and subsequent thermal treatment. Nevertheless, the low fiber yield and safety hazards associated with this method have raised concerns and limited the commercialization of composite CF anodes. Fiber and nanofiber processing methods such as centrifugal spinning can overcome low productivity and eliminate the use of a high voltage to produce fibers. In the present work, centrifugally spun fibers with alloying, transition metal oxides, and transition metal sulfite-based materials are presented and discussed for potential use as anode materials in LIBs and SIBs. Emphasis is given on the centrifugal spinning process and its effects on fiber formation, morphology, and structure of these nanocomposite anodes.;;;;;;;;;;;;;;;;;0921-5107;1873-4944;;;;APR;2021;266;;;;;;;;115024;10.1016/j.mseb.2020.115024;;;;;;;WOS:000621174300007;;;;;;
J;Ning, XY- Li, ZJ;;;;Ning, Xiaoyu- Li, Zhongjian;;;Centrifugally spun SnSb nanoparticle/porous carbon fiber composite as high-performance lithium-ion battery anode;MATERIALS LETTERS;;;;;;;;;;;;A SnSb alloy nanoparticle/porous carbon fiber (PCF) composite was prepared using a novel centrifugal spinning technology with subsequent thermal treatment. In SnSb/PCF composite, the SnSb nanoparticles are uniformly distributed in N-doped carbon fiber matrix due to the created porous structure. The centrifugal spinning can significantly increase the production rate of the fiber composites and the as-prepared SnSb/PCF composite demonstrated small particle size with uniform distribution, mesoporous structure which can facilitate the diffusion of electrolyte and N-doped carbon matrix that is beneficial to the acceleration of the electron transfer. Consequently, SnSb@CFs-20 exhibits a promising electrochemical performance in lithium storage. (C) 2021 Elsevier B.V. All rights reserved.;;;;;;;;;;;;;;;;;0167-577X;1873-4979;;;;MAR 15;2021;287;;;;;;;;129298;10.1016/j.matlet.2020.129298;;;;;;;WOS:000615985800010;;;;;;
J;Atici, B- Unlu, CH- Yanilmaz, M;;;;Atici, Bulin- Unlu, Cuneyt H.- Yanilmaz, Meltem;;;A Review on Centrifugally Spun Fibers and Their Applications;POLYMER REVIEWS;;;;;;;;;;;;In this review, the recent developments on centrifugal spinning and characteristics of centrifugally-spun fibers are reviewed. In recent years, there have been great efforts to develop high performance materials for different applications including energy storage, tissue engineering, drug delivery and aerosol filtration. The performance of these materials is greatly influenced by the material type- structure- mechanical, chemical, thermal stability and physical properties such as porosity and surface area. This review introduces the principles of centrifugal spinning with recent developments in manufacturing. The structures, characteristics and performance of centrifugally spun fibers are described in this review. Furthermore, the perspective on the current challenges and promising research directions that could lead to further advancements on centrifugal spinning is provided.;;;;Unlu, Cuneyt H./E-5660-2011- tem, mel/ABB-2890-2020;Unlu, Cuneyt H./0000-0001-7337-9697- tem, mel/0000-0003-0562-5715;;;;;;;;;;;;1558-3724;1558-3716;;;;;;;;;;;;;;;10.1080/15583724.2021.1901115;;MAR 2021;;;;;WOS:000632012600001;;;;;;
J;Pinto, SAD- Dias, FJD- Cardoso, GBC- dos Santos, AR- de Aro, AA- Pino, DS- Meneghetti, DH- Vitti, RP- dos Santos, GMT- Zavaglia, CAD;;;;de Andrade Pinto, Stella Aparecida- de Nadai Dias, Francisco Jose- Camargo Cardoso, Guinea Brasil- dos Santos Junior, Arnaldo Rodrigues- de Aro, Andrea Aparecida- Pino, Danilo Siqueira- Meneghetti, Damaris Helena- Vitti, Rafael Pino- Tech dos Santos, Glaucia Maria- de Carvalho Zavaglia, Cecilia Amelia;;;Polycaprolactone/Beta-Tricalcium Phosphate Scaffolds Obtained via Rotary Jet-Spinning: in vitro and in vivo Evaluation;CELLS TISSUES ORGANS;;;;;;;;;;;;This study aimed to evaluate in vitro and in vivo polymeric membranes obtained by a rotary jet-spinning process for the repair of critical bone defects in the calvaria of Wistar rats, for future use in tissue engineering. Experimental sample collections were performed on the 30, 60 and 90th postoperative days, and the analyses performed were histomorphometric, immunohistochemistry, and western blotting. Reducing inflammatory infiltrate in all groups and experimental periods, angiogenesis on the 30th day did not show any difference between the groups, on the 60th day, 5% polycaprolactone/beta-tricalcium phosphate(PCL/beta-TCP) was high compared to control (C), and on the 90th day, the same group reduced when compared to C and 10% PCL/beta-TCP. The fibroplasia presented oscillations in every segment- on the 30th and 60th day, there was an increase in 5% PCL/beta-TCP, which decreased by the 90th day compared to group C. 10% PCL/beta-TCP decreased compared to C on the 60th and 90th day. The percentage of the collagen area remained high in all groups and all experimental periods. Immunohistochemistry quantifications showed variations in bone metabolism suggesting new bone formation. The 5 and 10% PCL/beta-TCP scaffold were promising for the bone regeneration process because they participated in the modulation of inflammation, angiogenesis, fibroplasia, and collagenosis.;;;;Santos Jr, Arnaldo R./I-4813-2012;Santos Jr, Arnaldo R./0000-0003-0535-0088;;;;;;;;;;;;1422-6405;1422-6421;;;;;;;;;;;;;;;10.1159/000511570;;MAR 2021;;;;;WOS:000627435000001;33691307;;;;;
J;de Souza, L- Alavarse, AC- da Vinci, MA- Bonvent, JJ;;;;de Souza, Leonardo- Alavarse, Alex Carvalho- da Vinci, Marco Aurelio- Bonvent, Jean-Jacques;;;The Synergistic Effect of Polymer Composition, Solvent Volatility, and Collector Distance on Pullulan and PVA Fiber Production by Rotary Jet Spinning;FIBERS AND POLYMERS;;;;;;;;;;;;Rotary jet spinning (RJS) method is showing a growing interest as one of the most efficient techniques for micro/nanofibers production. This paper reports the investigation on the influence of the pullulan/PVA blend solution composition, the solvent volatility and spinneret-collector distance on the fiber's diameters produced by RJS technique. To optimize the number of required experiments for a complete evaluation, a central composite rotatable design (CCRD) and response surface methodology (RSM) were applied by means of Design Expert software. The fibrous mats morphology and thermal stability were analyzed as a function of the different parameters investigated. It was found a strong dependence of the fiber diameter on the blend composition and DMSO content, which could be explained mainly by the rheological properties of the polymer solution. The Response Surface Methodology analysis shows that the complex influence of the independent variables on the fiber's diameter could be fitted by an empirical model.;;;;;;;;;;;;;;;;;1229-9197;1875-0052;;;;;;;;;;;;;;;10.1007/s12221-021-0392-4;;MAR 2021;;;;;WOS:000624502700032;;;;;;
J;Hasan, MT- Gonzalez, R- Chipara, M- Materon, L- Parsons, J- Alcoutlabi, M;;;;Hasan, Md Toukir- Gonzalez, Ramiro- Chipara, Mircea- Materon, Luis- Parsons, Jason- Alcoutlabi, Mataz;;;Antibacterial activities of centrifugally spun polyethylene oxide/silver composite nanofibers;POLYMERS FOR ADVANCED TECHNOLOGIES;;;;;;;;;;;;Composite nanofibers were prepared successfully by centrifugal spinning of poly(ethylene oxide) aqueous solutions containing silver nanoparticles. The core focus of the present work is to carefully evaluate the antibacterial activity of poly(ethylene oxide)-Ag composite nanofibers in the presence of Escherichia coli (E. coli) and Bacillus cereus (B. cereus) bacteria. Centrifugally spun nanofibers were obtained from poly(ethylene oxide)-Ag precursor solutions with different Ag nanoparticle loadings. The process parameters such as the spinneret rotational speed, collector-spinneret distance, and relative humidity were optimized to obtain fine fibers. The complex morphology and flexible structure of the poly(ethylene oxide)-Ag composite fibers were investigated by scanning electron microscopy, X-ray diffraction, energy-dispersive X-ray spectroscopy, thermogravimetric analysis, and Raman spectroscopy. The composite nanofibers have been proven as a strong antibacterial agent against E. coli and B. cereus due to their capacity to form superior inhibition zones. The efficiency of inhibiting bacteria by nanofibers was over 98%. The workability of the bacteria was impeded by the nanofibrous membrane as the Ag nanoparticles presented an effective chemical ability to dysfunction the bacterial structure at the nanoscale. These results demonstrate that the centrifugally spun poly(ethylene oxide)-Ag nanofibers are promising antibacterial agents for biomedical applications.;;;;;;;;;;;;;;;;;1042-7147;1099-1581;;;;;;;;;;;;;;;10.1002/pat.5261;;FEB 2021;;;;;WOS:000618885700001;;;;;;
J;Gomez, J- Estrada, A- Ortega, AB- Arredondo, O- Nava, R- Barbosa, R- Capitanachi, D- Lozano, K;;;;Gomez, Jazael- Estrada, Arturo- Balbuena Ortega, Argelia- Arredondo, Oscar- Nava, Rocio- Barbosa, Raul- Capitanachi, Dulce- Lozano, Karen;;;Thermal conductivity of hybrid multilayer graphene-fiber carbon membranes;JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY;;;;;;;;;;;;Hybrid graphemne-fiber systems could present an alternative for various industrial applications in need of large area graphene sheets. One way to produce these carbon-based structures is by subjecting an aqueous polyvinyl alcohol solution containing sodium chloride to centrifugal spinning under high humidity conditions. The developed polymer fibers are then subjected to a dehydration and carbonization process to promote the formation of the hybrid carbon structure. Potential applications of this material are highly dependent upon their conducting properties. In this work we analyzed the effect of the NaCl content and humidity conditions during the spinning process and ultimate thermal conductivity of the resultant hybrid graphene-fiber carbon systems. Results show an optimum NaCl added to the carbon precursor solution and spun at a high relative humidity (around 70%) promote the development of veils of graphene oxide multilayer that interconnect with produced fibers. We applied for the first time a thermographic method to determine the thermal conductivity of carbon mats. The thermal conductivity of the hybrid fibers increases as graphene multilayers veils expand between carbon fibers, to reach values up to 28 W m K-1.;;;;;;;;;;;;;;;;;1388-6150;1588-2926;;;;;;;;;;;;;;;10.1007/s10973-021-10587-8;;FEB 2021;;;;;WOS:000615559700005;;;;;;
J;Saeed, M- Beigi-Boroujeni, S- Rajabi, S- Ashteiani, GR- Dolatfarahi, M- Ozcan, M;;;;Saeed, Mahdi- Beigi-Boroujeni, Saeed- Rajabi, Sarah- Ashteiani, Golnaz Rafati- Dolatfarahi, Maryam- Ozcan, Mutlu;;;A simple, green chemistry technology for fabrication of tissue-engineered scaffolds based on mussel-inspired 3D centrifugal spun;MATERIALS SCIENCE & ENGINEERING C-MATERIALS FOR BIOLOGICAL APPLICATIONS;;;;;;;;;;;;The fabrication of 3D fibrous scaffolds with highly interconnected pores has been crucial in the development of tissue regeneration techniques. The present study describes the fabrication of 3D fibrous scaffolds by freeze-drying of polydopamine (PDA) coated centrifugal spun gelatin fibers. We wanted to combine the mussel-inspired chemistry, Maillard reaction, and the 3D microstructural advantages of centrifugal spun fibers to develop the green fibrous scaffolds at low cost, high speed, and desired mold shape. The resultant PDA-gelatin fibers exhibited a smooth 3D microstructure with a uniform formation of PDA thin ad-layer that enhanced the mechanical properties and stability of the scaffolds, and thereby decreased the degradation rate. All scaffolds showed promising properties including good dimensional and mechanical stability under wet state, optimal porosity over 94%, and high water uptake of approximately 1500%. The results of cell culture studies, further confirmed that all scaffolds exhibited appropriate biocompatibility, cell proliferation, migration, and infiltration. Particularly, the PDA-coated scaffolds showed a significant enhancement in proliferation, migration, and infiltration of HDF-GFP(+) cells. These results show that a 3D porous fibrous scaffold with simplifying tunable density and desirable shape on a large scale can be readily prepared for different fields of tissue engineering applications.;;;;Ozcan, Mutlu/B-2862-2013;Ozcan, Mutlu/0000-0002-9623-6098;;;;;;;;;;;;0928-4931;1873-0191;;;;FEB;2021;121;;;;;;;;111849;10.1016/j.msec.2020.111849;;;;;;;WOS:000619124500001;33579483;;;;;
J;Gao, Y- Zhang, J- Su, Y- Wang, H- Wang, XX- Huang, LP- Yu, M- Ramakrishna, S- Long, YZ;;;;Gao, Yuan- Zhang, Jun- Su, Ying- Wang, Hang- Wang, Xiao-Xiong- Huang, Lin-Peng- Yu, Miao- Ramakrishna, Seeram- Long, Yun-Ze;;;Recent progress and challenges in solution blow spinning;MATERIALS HORIZONS;;;;;;;;;;;;In the past 30 years, researchers have worked towards reducing the size of ordinary three-dimensional (3D) materials into 1D or 2D materials in order to obtain new properties and applications of these low-dimensional systems. Among them, functional nanofibers with large surface area and high porosity have been widely studied and paid attention to. Because of the interesting properties of nanofibers, they find extensive application in filtration, wound dressings, composites, sensors, capacitors, nanogenerators, etc. Recently, a variety of nanofiber preparation methods such as melt blowing, electrospinning (e-spinning), centrifugal spinning and solution blow spinning (SBS) have been proposed. This paper includes a brief review of the fundamental principles of the preparation of nanofibers for solution jet spinning, the influence of experimental parameters, and the properties and potential applications of the solution-blown fibers. And the industrialization and challenges of SBS are also included.;;;;;;;;;;;;;;;;;2051-6347;2051-6355;;;;FEB 1;2021;8;2;;;;;426;446;;10.1039/d0mh01096k;;;;;;;WOS:000618243600007;;;;;;
